Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Wall_Loss\SMPS_20230126_Wall_Loss_Dry.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
 16.8,0.146,0.000,0.000,0.000,0.146,0.000,8.481,3.327,2.242,4.282,3.497,3.060,2.186,792.122,114.412,354.059,66.859,21.740,10.498,9.247,7.554,9.948,7.534,7.141,6.717,6.623,7.227,6.810,7.840,6.878,7.317,7.568,6.806,6.252,6.629,6.332,7.488,4.411,4.785,5.266,6.009,6.009,5.751,5.619,5.878,5.340,5.923,4.904,4.627,6.429,5.878,4.284,4.404,3.964,4.053,4.159,3.969,4.691,4.586,2.460,3.250,3.601,2.953,2.787,3.451,3.336,2.165,1.975,2.909,3.701,2.375,3.091,1.861,1.335,1.475,1.839,1.325,1.936,1.324,1.528,1.927,1.018,0.909,1.820,1.630,1.225,1.284
 17.5,0.000,0.000,0.137,0.000,0.000,0.000,7.962,4.403,3.286,3.012,3.560,3.286,3.423,659.658,115.277,386.780,69.686,18.787,7.161,5.336,4.540,3.018,4.627,3.967,3.704,4.033,3.563,2.500,3.344,3.253,3.079,2.326,3.450,3.039,2.891,3.319,3.502,3.207,2.988,3.301,1.644,3.273,3.080,1.807,3.066,2.496,2.482,2.238,2.365,2.883,2.234,3.120,3.170,2.073,2.891,2.679,1.742,1.836,1.532,2.115,2.512,1.795,1.422,1.683,1.871,1.963,1.360,1.272,0.880,0.973,0.389,1.068,1.828,1.547,1.448,1.444,1.632,1.344,1.407,0.934,0.575,0.863,0.767,0.960,1.152,0.764,0.617
 18.1,0.000,0.000,0.000,0.000,0.000,0.000,8.137,5.545,4.643,2.966,3.998,2.579,2.579,578.643,130.169,395.736,69.609,18.891,7.838,4.166,3.243,1.531,1.708,1.455,1.418,1.861,1.083,1.393,1.633,2.016,1.551,1.644,1.113,1.214,1.200,1.466,1.278,1.990,1.043,1.021,1.447,1.898,1.556,0.416,1.755,2.046,1.514,1.466,1.933,1.227,0.903,1.095,1.278,0.978,1.066,0.778,1.756,0.962,1.006,0.475,1.138,0.377,0.720,0.561,1.115,0.834,0.642,1.109,0.923,0.551,0.826,0.642,0.548,0.822,0.638,0.636,0.544,0.539,0.392,0.840,0.543,0.453,0.634,0.181,0.362,0.731,0.726
 18.8,0.121,0.000,0.000,0.000,0.121,0.000,8.808,3.039,3.521,2.659,2.192,2.779,2.450,482.351,130.161,431.728,81.379,20.242,6.089,1.789,0.950,1.343,0.752,0.902,0.824,0.931,0.512,0.304,0.719,0.702,0.314,0.103,0.315,0.413,0.515,0.791,0.603,0.791,0.394,0.701,0.781,0.392,0.588,0.688,0.585,0.387,0.479,0.798,0.577,0.669,0.758,0.838,0.651,0.185,0.184,0.551,0.275,0.182,0.960,0.629,0.090,0.178,0.443,0.619,0.703,0.789,0.694,0.524,0.349,0.521,0.531,0.260,0.173,0.345,0.086,0.516,0.600,0.347,0.857,0.343,0.257,0.171,0.343,0.086,0.600,0.515,0.601
 19.5,0.000,0.000,0.000,0.000,0.000,0.000,7.895,3.196,3.767,2.184,3.752,2.855,2.938,449.158,134.570,479.753,88.967,25.910,9.186,4.289,1.598,0.587,1.167,0.190,0.195,0.196,0.290,0.287,0.389,0.664,0.396,0.000,0.199,0.590,0.292,0.375,0.286,0.094,0.187,0.186,0.185,0.372,0.371,0.279,0.185,0.458,0.454,0.180,0.000,0.453,0.000,0.265,0.440,0.263,0.174,0.348,0.609,0.345,0.345,0.426,0.085,0.084,0.084,0.084,0.345,0.083,0.082,0.000,0.000,0.165,0.155,0.082,0.164,0.491,0.163,0.163,0.000,0.081,0.162,0.325,0.081,0.081,0.162,0.081,0.000,0.081,0.325
 20.2,0.000,0.000,0.000,0.000,0.108,0.000,8.073,3.220,3.020,3.223,3.364,2.158,2.373,458.747,139.025,527.699,100.609,29.548,9.839,4.526,2.173,1.110,1.012,0.629,0.184,0.093,0.550,0.544,0.184,0.000,0.094,0.093,0.094,0.093,0.092,0.089,0.090,0.177,0.265,0.088,0.263,0.000,0.176,0.176,0.175,0.087,0.086,0.170,0.259,0.000,0.170,0.000,0.111,0.083,0.165,0.165,0.247,0.245,0.082,0.242,0.161,0.160,0.239,0.000,0.068,0.236,0.000,0.157,0.235,0.078,0.078,0.156,0.078,0.233,0.000,0.000,0.000,0.154,0.000,0.000,0.077,0.000,0.231,0.000,0.000,0.077,0.077
 20.9,0.102,0.000,0.000,0.000,0.000,0.000,6.714,2.934,3.546,3.150,2.319,2.133,2.638,436.207,137.342,532.801,115.243,31.904,13.581,5.835,3.103,1.210,0.680,0.166,0.557,0.220,0.231,2.994,0.077,0.076,0.258,0.160,0.174,0.173,0.172,0.081,0.000,0.248,0.167,0.000,0.165,0.081,0.083,0.083,0.165,0.000,0.081,0.242,0.000,0.081,0.162,0.000,0.212,0.315,0.157,0.234,0.078,0.000,0.155,0.000,0.000,0.000,0.076,0.000,0.075,0.074,0.147,0.000,0.000,0.074,0.000,0.370,0.074,0.000,0.000,0.000,0.147,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.073
 21.7,0.000,0.000,0.000,0.194,0.000,0.097,7.272,3.376,2.952,2.402,2.574,2.301,2.576,407.019,143.941,584.464,128.332,41.342,12.954,7.324,1.681,1.940,0.398,0.195,0.324,0.185,0.123,1.524,0.153,0.051,0.068,0.159,0.000,0.332,0.080,0.155,0.160,0.000,0.000,0.000,0.000,0.076,0.078,0.000,0.156,0.077,0.077,0.000,0.000,0.154,0.152,0.076,0.075,0.000,0.223,0.000,0.000,0.000,0.000,0.000,0.000,0.072,0.000,0.072,0.000,0.000,0.000,0.070,0.000,0.070,0.068,0.000,0.000,0.000,0.070,0.000,0.070,0.000,0.069,0.278,0.000,0.000,0.000,0.000,0.069,0.000,0.000
 22.5,0.000,0.090,0.000,0.000,0.091,0.185,6.023,3.392,2.303,2.846,2.119,1.454,2.410,347.877,152.631,642.824,142.949,51.155,18.585,8.766,4.172,1.278,1.205,0.439,0.490,0.606,0.474,0.347,0.124,0.043,0.063,0.000,0.000,0.000,0.154,0.067,0.069,0.071,0.000,0.072,0.000,0.070,0.071,0.000,0.000,0.000,0.000,0.068,0.000,0.145,0.072,0.072,0.000,0.067,0.000,0.282,0.000,0.070,0.000,0.069,0.000,0.000,0.137,0.136,0.000,0.000,0.000,0.068,0.000,0.000,0.000,0.000,0.000,0.067,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 23.3,0.000,0.000,0.000,0.000,0.000,0.000,4.230,2.331,3.048,2.967,1.895,1.909,1.899,274.278,151.858,676.398,154.930,61.692,19.466,11.136,4.185,2.105,1.225,1.057,0.575,0.236,0.218,0.371,0.158,0.034,0.122,0.000,0.047,0.127,0.060,0.206,0.068,0.060,0.068,0.000,0.000,0.138,0.000,0.000,0.139,0.067,0.000,0.000,0.069,0.067,0.000,0.000,0.000,0.063,0.000,0.000,0.000,0.066,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.064,0.000,0.062,0.000,0.127,0.000,0.000,0.000,0.000,0.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 24.1,0.079,0.000,0.000,0.000,0.083,0.084,3.917,3.299,1.971,2.871,2.067,1.113,1.986,243.489,153.599,734.732,180.852,69.462,27.543,12.859,6.047,4.310,2.130,0.524,0.482,0.367,0.403,0.047,0.200,0.098,0.167,0.023,0.115,0.116,0.049,0.064,0.129,0.049,0.000,0.137,0.133,0.069,0.000,0.000,0.000,0.066,0.064,0.000,0.000,0.063,0.000,0.065,0.000,0.000,0.000,0.000,0.000,0.060,0.062,0.061,0.061,0.060,0.000,0.000,0.000,0.000,0.060,0.000,0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.058,0.000,0.000,0.000,0.061,0.000,0.000,0.000
 25.0,0.161,0.000,0.078,0.079,0.000,0.000,2.638,3.391,2.234,2.090,3.584,1.772,2.784,211.620,158.996,785.326,207.857,82.469,32.301,15.940,8.016,5.397,2.142,1.768,0.729,1.493,0.532,0.008,0.152,0.133,0.000,0.024,0.187,0.157,0.052,0.123,0.052,0.000,0.114,0.000,0.057,0.045,0.054,0.065,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.055,0.000,0.060,0.062,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.057,0.000,0.000,0.058,0.000,0.000,0.000,0.058
 25.9,0.075,0.076,0.075,0.000,0.000,0.000,3.990,2.767,2.454,2.265,2.357,2.048,1.511,172.267,167.648,868.371,229.385,93.023,32.982,18.440,10.172,5.617,4.578,2.716,1.111,0.556,1.338,0.754,0.169,0.375,0.047,0.267,0.249,0.140,0.101,0.182,0.047,0.019,0.115,0.000,0.000,0.047,0.237,0.119,0.063,0.000,0.051,0.000,0.062,0.000,0.000,0.000,0.058,0.000,0.111,0.055,0.053,0.000,0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.056,0.052,0.000,0.000,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 26.9,0.000,0.000,0.000,0.000,0.000,0.072,3.108,2.115,2.352,2.333,1.890,1.819,1.380,167.269,170.446,901.954,259.788,105.187,45.840,27.148,13.040,6.996,4.621,2.722,1.500,0.599,0.790,0.696,0.365,0.381,0.164,0.102,0.077,0.189,0.338,0.000,0.158,0.023,0.113,0.048,0.048,0.056,0.117,0.061,0.000,0.104,0.054,0.000,0.000,0.000,0.000,0.053,0.000,0.000,0.000,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.104,0.000,0.000,0.000,0.000,0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.051
 27.9,0.000,0.069,0.070,0.000,0.069,0.070,3.912,2.872,2.230,2.504,2.098,2.231,1.596,158.119,171.080,982.627,299.073,128.689,55.298,32.093,16.375,9.353,7.102,3.298,2.163,1.742,0.975,0.608,0.591,0.545,0.260,0.284,0.294,0.000,0.039,0.244,0.183,0.009,0.000,0.095,0.100,0.058,0.115,0.114,0.042,0.000,0.000,0.000,0.000,0.053,0.000,0.000,0.000,0.000,0.055,0.000,0.000,0.000,0.000,0.000,0.000,0.053,0.000,0.000,0.051,0.000,0.101,0.051,0.052,0.000,0.052,0.000,0.000,0.000,0.000,0.000,0.048,0.000,0.000,0.000,0.051,0.000,0.000,0.000,0.000,0.000,0.051
 28.9,0.066,0.131,0.067,0.000,0.000,0.133,3.459,2.636,1.923,1.585,1.029,1.524,0.797,132.473,164.865,1050.998,317.858,143.224,64.206,38.880,19.319,10.380,6.435,4.236,3.406,2.401,1.270,0.998,0.665,0.386,0.585,0.527,0.522,0.513,0.219,0.206,0.381,0.220,0.169,0.056,0.316,0.056,0.053,0.104,0.000,0.000,0.000,0.054,0.055,0.108,0.000,0.000,0.051,0.000,0.052,0.053,0.000,0.000,0.000,0.000,0.051,0.051,0.042,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.045
 30.0,0.000,0.000,0.064,0.000,0.063,0.000,2.982,2.479,1.766,1.671,1.280,1.186,1.671,127.526,177.707,1096.536,375.238,163.836,83.063,44.586,22.928,14.656,10.565,6.728,4.239,3.255,2.259,1.517,0.808,0.665,0.678,0.559,0.354,0.266,0.210,0.243,0.434,0.339,0.081,0.162,0.127,0.161,0.028,0.051,0.104,0.105,0.060,0.042,0.051,0.041,0.000,0.034,0.000,0.000,0.000,0.101,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.042,0.096,0.000,0.000,0.000,0.097,0.000,0.000,0.048,0.048,0.000,0.000,0.000,0.095,0.000,0.000,0.000,0.000,0.000,0.048,0.000,0.000
 31.1,0.123,0.125,0.063,0.000,0.125,0.000,2.677,1.404,2.124,1.672,1.468,1.911,1.294,128.153,179.538,1162.405,416.240,184.266,97.370,54.581,32.986,17.326,12.711,7.858,5.662,3.983,2.563,1.954,0.800,1.933,1.014,1.036,0.869,0.281,0.199,0.324,0.152,0.286,0.292,0.234,0.270,0.245,0.109,0.113,0.142,0.081,0.043,0.050,0.029,0.051,0.101,0.000,0.000,0.049,0.048,0.000,0.194,0.000,0.000,0.039,0.000,0.047,0.142,0.000,0.000,0.047,0.093,0.047,0.047,0.046,0.139,0.000,0.000,0.000,0.000,0.043,0.000,0.000,0.046,0.046,0.000,0.000,0.000,0.000,0.046,0.000,0.000
 32.2,0.000,0.120,0.120,0.000,0.060,0.000,3.039,1.787,1.837,1.187,1.850,1.388,1.116,145.688,169.199,1221.242,442.631,202.234,109.825,67.807,37.927,22.898,15.287,9.692,7.896,6.075,4.271,2.321,1.882,1.795,0.952,1.124,0.995,0.658,0.241,0.496,0.456,0.309,0.420,0.190,0.269,0.305,0.289,0.156,0.136,0.049,0.040,0.289,0.140,0.146,0.096,0.017,0.091,0.236,0.000,0.187,0.047,0.045,0.047,0.008,0.045,0.000,0.046,0.045,0.090,0.045,0.000,0.000,0.000,0.045,0.045,0.000,0.044,0.000,0.000,0.000,0.000,0.044,0.044,0.000,0.044,0.000,0.000,0.000,0.000,0.000,0.000
 33.4,0.000,0.000,0.000,0.000,0.000,0.000,3.771,1.597,1.448,1.152,1.543,1.454,1.379,181.044,179.227,1297.924,493.313,242.213,120.752,76.129,44.954,29.717,16.456,12.801,8.548,6.847,3.874,3.575,3.310,1.896,1.516,1.098,1.431,1.231,0.773,0.554,0.234,0.604,0.184,0.537,0.465,0.270,0.277,0.085,0.214,0.211,0.178,0.045,0.080,0.163,0.159,0.079,0.137,0.224,0.174,0.078,0.077,0.025,0.000,0.041,0.034,0.130,0.044,0.000,0.000,0.039,0.033,0.128,0.041,0.043,0.000,0.084,0.000,0.040,0.043,0.041,0.042,0.042,0.000,0.000,0.000,0.040,0.039,0.000,0.039,0.031,0.042
 34.6,0.225,0.000,0.000,0.054,0.054,0.000,2.346,1.607,1.308,1.363,1.268,1.142,1.161,193.151,174.087,1384.176,541.623,272.897,146.834,88.250,57.785,32.484,24.217,16.046,10.345,9.205,7.864,4.106,3.760,1.818,2.283,2.178,1.387,1.249,1.006,0.220,0.553,0.895,0.746,0.000,0.177,0.000,0.209,0.376,0.234,0.076,0.127,0.000,0.142,0.167,0.050,0.010,0.199,0.251,0.103,0.160,0.086,0.184,0.094,0.090,0.108,0.137,0.000,0.038,0.058,0.040,0.080,0.000,0.135,0.081,0.000,0.020,0.063,0.027,0.073,0.025,0.033,0.076,0.015,0.112,0.000,0.000,0.011,0.000,0.000,0.082,0.032
 35.9,0.000,0.106,0.108,0.053,0.000,0.000,2.033,1.109,1.487,0.888,1.403,0.736,1.204,189.414,172.560,1460.512,610.812,304.816,167.442,104.434,66.644,40.779,29.173,18.479,11.943,9.410,8.340,5.081,4.791,2.715,2.707,1.720,0.927,2.046,0.651,0.403,0.607,0.604,0.723,0.464,0.353,0.857,0.458,0.053,0.044,0.000,0.121,0.096,0.000,0.027,0.070,0.223,0.189,0.297,0.000,0.073,0.000,0.092,0.103,0.062,0.014,0.081,0.000,0.000,0.082,0.033,0.045,0.000,0.046,0.011,0.030,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.014,0.034,0.025,0.057,0.000,0.055,0.012,0.011,0.000
 37.2,0.047,0.000,0.053,0.000,0.101,0.000,1.813,1.615,1.130,1.197,0.670,0.769,0.749,206.105,164.857,1561.712,666.748,355.875,195.198,124.140,83.936,49.035,36.605,21.730,17.925,12.960,8.243,7.603,5.557,2.640,3.020,2.540,3.075,2.086,1.093,0.302,0.616,1.562,0.419,0.585,0.469,0.539,0.545,0.281,0.000,0.182,0.372,0.417,0.000,0.000,0.400,0.000,0.078,0.271,0.077,0.142,0.239,0.171,0.000,0.109,0.000,0.000,0.063,0.063,0.000,0.029,0.140,0.041,0.032,0.000,0.072,0.000,0.124,0.019,0.000,0.000,0.000,0.000,0.114,0.000,0.000,0.000,0.000,0.000,0.004,0.011,0.013
