Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Wall_Loss\SMPS_20230126_Wall_Loss_Dry.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
 16.8,9.318,0.000,0.000,0.000,9.323,0.000,542.753,212.912,143.461,274.016,223.809,195.834,139.882,50695.794,7322.373,22659.786,4278.999,1391.392,671.873,591.834,483.454,636.662,482.198,456.993,429.889,423.886,462.498,435.835,501.731,440.197,468.267,484.365,435.571,400.113,424.268,405.278,479.248,282.319,306.256,337.033,384.565,384.573,368.045,359.619,376.217,341.768,379.082,313.836,296.142,411.463,376.160,274.193,281.869,253.693,259.405,266.188,254.036,300.244,293.505,157.422,207.987,230.469,189.012,178.348,220.865,213.473,138.570,126.372,186.147,236.863,151.987,197.844,119.087,85.421,94.407,117.706,84.776,123.907,84.711,97.820,123.331,65.161,58.167,116.467,104.321,78.392,82.144
 17.5,0.000,0.000,8.754,0.000,0.000,0.000,509.580,281.761,210.304,192.777,227.824,210.304,219.064,42218.141,7377.739,24753.938,4459.906,1202.393,458.309,341.505,290.575,193.157,296.157,253.861,237.062,258.130,228.046,160.028,213.997,208.182,197.040,148.834,220.814,194.496,185.022,212.385,224.098,205.275,191.232,211.253,105.247,209.458,197.132,115.674,196.249,159.713,158.828,143.201,151.391,184.517,142.949,199.697,202.905,132.664,185.048,171.444,111.497,117.498,98.045,135.334,160.760,114.890,91.040,107.713,119.757,125.653,87.011,81.433,56.351,62.290,24.896,68.355,117.014,99.028,92.690,92.395,104.431,86.002,90.065,59.765,36.830,55.244,49.106,61.419,73.703,48.925,39.504
 18.1,0.000,0.000,0.000,0.000,0.000,0.000,520.777,354.882,297.146,189.844,255.878,165.078,165.079,37033.120,8330.820,25327.125,4455.004,1209.023,501.636,266.624,207.529,98.012,109.333,93.147,90.759,119.127,69.331,89.160,104.512,129.049,99.289,105.190,71.256,77.718,76.804,93.822,81.773,127.331,66.779,65.353,92.623,121.484,99.574,26.624,112.351,130.965,96.881,93.855,123.743,78.550,57.784,70.074,81.797,62.579,68.246,49.771,112.370,61.594,64.394,30.407,72.819,24.096,46.065,35.881,71.392,53.372,41.070,70.955,59.103,35.279,52.878,41.062,35.085,52.587,40.835,40.707,34.798,34.512,25.075,53.769,34.771,28.976,40.566,11.598,23.195,46.765,46.462
 18.8,7.727,0.000,0.000,0.000,7.733,0.000,563.684,194.528,225.346,170.151,140.271,177.884,156.797,30870.472,8330.323,27630.566,5208.227,1295.515,389.675,114.494,60.805,85.944,48.160,57.741,52.743,59.555,32.737,19.430,46.001,44.909,20.089,6.622,20.182,26.453,32.968,50.649,38.618,50.650,25.235,44.893,50.008,25.113,37.630,44.018,37.466,24.750,30.671,51.103,36.925,42.840,48.543,53.628,41.634,11.831,11.772,35.288,17.629,11.647,61.465,40.253,5.738,11.392,28.369,39.588,45.011,50.478,44.395,33.554,22.360,33.370,33.960,16.645,11.062,22.107,5.518,33.005,38.402,22.215,54.819,21.945,16.445,10.963,21.927,5.485,38.396,32.973,38.457
 19.5,0.000,0.000,0.000,0.000,0.000,0.000,505.258,204.541,241.092,139.784,240.157,182.696,188.002,28746.087,8612.490,30704.198,5693.872,1658.230,587.932,274.480,102.276,37.537,74.701,12.146,12.478,12.524,18.590,18.390,24.876,42.510,25.344,0.000,12.731,37.789,18.719,23.974,18.278,5.993,11.945,11.877,11.837,23.776,23.752,17.860,11.824,29.295,29.045,11.513,0.000,28.978,0.000,16.932,28.169,16.811,11.152,22.286,38.969,22.068,22.078,27.243,5.437,5.398,5.376,5.359,22.081,5.315,5.259,0.000,0.000,10.543,9.949,5.259,10.485,31.431,10.460,10.428,0.000,5.200,10.392,20.801,5.197,5.196,10.392,5.199,0.000,5.210,20.830
 20.2,0.000,0.000,0.000,0.000,6.903,0.000,516.702,206.050,193.258,206.245,215.273,138.086,151.894,29359.825,8897.572,33772.747,6438.967,1891.081,629.726,289.687,139.085,71.035,64.773,40.233,11.807,5.925,35.181,34.807,11.769,0.000,5.995,5.929,6.022,5.959,5.904,5.673,5.766,11.346,16.961,5.622,16.808,0.000,11.242,11.271,11.194,5.547,5.500,10.901,16.553,0.000,10.883,0.000,7.098,5.307,10.562,10.554,15.818,15.678,5.228,15.484,10.300,10.228,15.281,0.000,4.339,15.109,0.000,10.044,15.059,4.994,4.991,9.967,4.968,14.892,0.000,0.000,0.000,9.856,0.000,0.000,4.924,0.000,14.773,0.000,0.000,4.936,4.935
 20.9,6.545,0.000,0.000,0.000,0.000,0.000,429.682,187.785,226.957,201.619,148.385,136.533,168.864,27917.265,8789.859,34099.292,7375.575,2041.862,869.196,373.438,198.619,77.434,43.548,10.636,35.633,14.100,14.780,191.642,4.900,4.894,16.501,10.243,11.138,11.094,11.039,5.184,0.000,15.886,10.678,0.000,10.542,5.210,5.318,5.313,10.551,0.000,5.177,15.510,0.000,5.181,10.346,0.000,13.544,20.187,10.044,14.968,4.971,0.000,9.944,0.000,0.000,0.000,4.845,0.000,4.806,4.755,9.402,0.000,0.000,4.752,0.000,23.704,4.726,0.000,0.000,0.000,9.378,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.695
 21.7,0.000,0.000,0.000,12.439,0.000,6.219,465.381,216.057,188.904,153.701,164.715,147.289,164.851,26049.228,9212.243,37405.689,8213.226,2645.905,829.033,468.737,107.609,124.151,25.480,12.500,20.747,11.867,7.886,97.557,9.778,3.248,4.361,10.167,0.000,21.230,5.120,9.920,10.234,0.000,0.000,0.000,0.000,4.834,4.973,0.000,9.973,4.927,4.927,0.000,0.000,9.873,9.746,4.833,4.828,0.000,14.292,0.000,0.000,0.000,0.000,0.000,0.000,4.584,0.000,4.598,0.000,0.000,0.000,4.503,0.000,4.479,4.377,0.000,0.000,0.000,4.486,0.000,4.464,0.000,4.409,17.814,0.000,0.000,0.000,0.000,4.416,0.000,0.000
 22.5,0.000,5.766,0.000,0.000,5.843,11.845,385.477,217.062,147.411,182.147,135.607,93.039,154.221,22264.112,9768.382,41140.718,9148.718,3273.927,1189.408,561.039,266.991,81.816,77.095,28.123,31.358,38.787,30.364,22.232,7.966,2.779,4.006,0.000,0.000,0.000,9.885,4.310,4.448,4.523,0.000,4.616,0.000,4.490,4.516,0.000,0.000,0.000,0.000,4.378,0.000,9.302,4.581,4.596,0.000,4.316,0.000,18.022,0.000,4.464,0.000,4.448,0.000,0.000,8.743,8.728,0.000,0.000,0.000,4.338,0.000,0.000,0.000,0.000,0.000,4.293,4.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 23.3,0.000,0.000,0.000,0.000,0.000,0.000,270.713,149.164,195.067,189.890,121.271,122.187,121.542,17553.773,9718.931,43289.481,9915.516,3948.274,1245.802,712.683,267.859,134.734,78.386,67.674,36.804,15.075,13.933,23.754,10.100,2.169,7.798,0.000,3.030,8.125,3.829,13.178,4.381,3.854,4.357,0.000,0.000,8.838,0.000,0.000,8.876,4.270,0.000,0.000,4.402,4.275,0.000,0.000,0.000,4.048,0.000,0.000,0.000,4.248,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.080,0.000,3.961,0.000,8.140,0.000,0.000,0.000,0.000,4.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 24.1,5.044,0.000,0.000,0.000,5.292,5.370,250.691,211.124,126.165,183.732,132.315,71.251,127.111,15583.269,9830.362,47022.868,11574.552,4445.591,1762.765,822.997,387.032,275.844,136.347,33.548,30.843,23.477,25.785,2.981,12.828,6.280,10.701,1.457,7.336,7.454,3.131,4.093,8.230,3.130,0.000,8.776,8.501,4.392,0.000,0.000,0.000,4.228,4.123,0.000,0.000,4.058,0.000,4.179,0.000,0.000,0.000,0.000,0.000,3.847,3.977,3.930,3.897,3.821,0.000,0.000,0.000,0.000,3.810,0.000,3.759,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.725,0.000,0.000,0.000,3.882,0.000,0.000,0.000
 25.0,10.278,0.000,4.970,5.059,0.000,0.000,168.807,217.032,142.970,133.750,229.374,113.412,178.207,13543.677,10175.724,50260.861,13302.865,5278.005,2067.275,1020.173,513.003,345.411,137.067,113.145,46.662,95.551,34.044,0.530,9.740,8.490,0.000,1.549,11.982,10.050,3.325,7.878,3.326,0.000,7.305,0.000,3.641,2.859,3.483,4.135,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.514,0.000,3.857,3.976,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.757,0.000,0.000,0.000,0.000,0.000,0.000,3.671,0.000,0.000,3.728,0.000,0.000,0.000,3.734
 25.9,4.819,4.894,4.803,0.000,0.000,0.000,255.348,177.100,157.055,144.988,150.834,131.057,96.720,11025.087,10729.478,55575.732,14680.609,5953.484,2110.829,1180.179,651.010,359.499,292.993,173.799,71.105,35.582,85.627,48.233,10.833,23.987,3.002,17.062,15.948,8.942,6.458,11.661,2.999,1.227,7.335,0.000,0.000,3.033,15.151,7.587,4.020,0.000,3.279,0.000,3.968,0.000,0.000,0.000,3.696,0.000,7.131,3.545,3.371,0.000,3.765,0.000,0.000,0.000,0.000,0.000,0.000,3.584,3.348,0.000,0.000,3.609,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 26.9,0.000,0.000,0.000,0.000,0.000,4.620,198.906,135.372,150.512,149.306,120.956,116.411,88.336,10705.190,10908.549,57725.081,16626.427,6731.943,2933.769,1737.462,834.578,447.740,295.732,174.204,95.991,38.361,50.587,44.529,23.334,24.359,10.467,6.542,4.918,12.124,21.636,0.000,10.109,1.442,7.242,3.053,3.068,3.592,7.481,3.892,0.000,6.669,3.479,0.000,0.000,0.000,0.000,3.370,0.000,0.000,0.000,3.575,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.632,0.000,0.000,0.000,0.000,3.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.289
 27.9,0.000,4.396,4.485,0.000,4.400,4.507,250.358,183.812,142.708,160.265,134.256,142.807,102.159,10119.593,10949.120,62888.108,19140.660,8236.110,3539.052,2053.936,1047.985,598.612,454.553,211.079,138.430,111.469,62.370,38.906,37.833,34.865,16.649,18.176,18.806,0.000,2.500,15.605,11.736,0.578,0.000,6.075,6.425,3.726,7.389,7.310,2.659,0.000,0.000,0.000,0.000,3.373,0.000,0.000,0.000,0.000,3.510,0.000,0.000,0.000,0.000,0.000,0.000,3.406,0.000,0.000,3.292,0.000,6.438,3.251,3.331,0.000,3.328,0.000,0.000,0.000,0.000,0.000,3.088,0.000,0.000,0.000,3.286,0.000,0.000,0.000,0.000,0.000,3.286
 28.9,4.196,8.405,4.312,0.000,0.000,8.530,221.380,168.725,123.093,101.458,65.828,97.518,51.018,8478.251,10551.339,67263.843,20342.916,9166.342,4109.162,2488.328,1236.435,664.327,411.856,271.080,217.990,153.657,81.250,63.841,42.550,24.721,37.441,33.702,33.420,32.818,14.012,13.192,24.407,14.102,10.826,3.582,20.234,3.572,3.407,6.666,0.000,0.000,0.000,3.434,3.507,6.942,0.000,0.000,3.252,0.000,3.301,3.415,0.000,0.000,0.000,0.000,3.285,3.266,2.657,0.000,3.229,0.000,0.000,0.000,0.000,0.000,0.000,3.188,0.000,3.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.885
 30.0,0.000,0.000,4.064,0.000,4.054,0.000,190.875,158.672,113.043,106.958,81.903,75.910,106.924,8161.660,11373.279,70178.292,24015.219,10485.529,5316.042,2853.487,1467.386,938.005,676.174,430.609,271.306,208.308,144.584,97.107,51.681,42.556,43.414,35.805,22.647,17.000,13.417,15.521,27.747,21.697,5.182,10.368,8.128,10.313,1.814,3.275,6.634,6.720,3.821,2.674,3.289,2.642,0.000,2.147,0.000,0.000,0.000,6.461,3.247,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.666,6.173,0.000,0.000,0.000,6.181,0.000,0.000,3.075,3.071,0.000,0.000,0.000,6.103,0.000,0.000,0.000,0.000,0.000,3.053,0.000,0.000
 31.1,7.876,7.997,4.002,0.000,8.008,0.000,171.322,89.860,135.918,106.991,93.975,122.323,82.812,8201.785,11490.402,74393.928,26639.352,11793.030,6231.710,3493.191,2111.111,1108.857,813.535,502.883,362.342,254.912,164.024,125.066,51.175,123.722,64.893,66.275,55.624,17.972,12.738,20.705,9.729,18.304,18.675,14.972,17.262,15.673,6.973,7.205,9.093,5.177,2.721,3.222,1.825,3.241,6.433,0.000,0.000,3.143,3.054,0.000,12.419,0.000,0.000,2.524,0.000,3.037,9.078,0.000,0.000,2.994,5.930,2.986,2.985,2.971,8.907,0.000,0.000,0.000,0.000,2.737,0.000,0.000,2.932,2.934,0.000,0.000,0.000,0.000,2.934,0.000,0.000
 32.2,0.000,7.689,7.681,0.000,3.835,0.000,194.519,114.339,117.542,75.937,118.408,88.863,71.426,9324.030,10828.734,78159.459,28328.400,12942.992,7028.799,4339.670,2427.347,1465.454,978.349,620.296,505.335,388.807,273.369,148.543,120.469,114.897,60.955,71.917,63.657,42.129,15.396,31.740,29.157,19.746,26.851,12.154,17.191,19.540,18.508,9.995,8.682,3.151,2.533,18.495,8.971,9.361,6.134,1.087,5.796,15.129,0.000,11.993,2.979,2.900,2.984,0.519,2.875,0.000,2.913,2.905,5.783,2.883,0.000,0.000,0.000,2.861,2.859,0.000,2.847,0.000,0.000,0.000,0.000,2.825,2.824,0.000,2.824,0.000,0.000,0.000,0.000,0.000,0.000
 33.4,0.000,0.000,0.000,0.000,0.000,0.000,241.363,102.239,92.654,73.706,98.757,93.047,88.279,11586.817,11470.521,83067.136,31572.043,15501.615,7728.144,4872.276,2877.067,1901.914,1053.189,819.290,547.103,438.190,247.942,228.824,211.849,121.324,97.015,70.249,91.597,78.767,49.488,35.448,14.957,38.676,11.777,34.358,29.769,17.265,17.707,5.443,13.686,13.475,11.390,2.861,5.137,10.425,10.189,5.036,8.744,14.327,11.125,4.971,4.947,1.595,0.000,2.628,2.176,8.292,2.812,0.000,0.000,2.481,2.117,8.192,2.625,2.778,0.000,5.382,0.000,2.580,2.738,2.640,2.682,2.715,0.000,0.000,0.000,2.567,2.485,0.000,2.524,1.968,2.716
 34.6,14.383,0.000,0.000,3.472,3.488,0.000,150.140,102.817,83.700,87.223,81.120,73.116,74.334,12361.666,11141.578,88587.274,34663.856,17465.418,9397.360,5648.021,3698.253,2078.945,1549.878,1026.915,662.099,589.138,503.271,262.760,240.623,116.353,146.142,139.387,88.794,79.937,64.378,14.104,35.397,57.299,47.747,0.000,11.355,0.000,13.379,24.073,14.956,4.873,8.109,0.000,9.063,10.664,3.218,0.648,12.755,16.063,6.593,10.245,5.495,11.776,6.023,5.760,6.885,8.748,0.000,2.436,3.735,2.550,5.118,0.000,8.612,5.187,0.000,1.288,4.000,1.698,4.695,1.596,2.093,4.844,0.937,7.143,0.000,0.000,0.729,0.000,0.000,5.233,2.048
 35.9,0.000,6.760,6.939,3.410,0.000,0.000,130.087,70.993,95.158,56.850,89.790,47.083,77.075,12122.495,11043.868,93472.772,39091.941,19508.226,10716.312,6683.764,4265.243,2609.880,1867.093,1182.671,764.348,602.239,533.734,325.199,306.625,173.775,173.244,110.088,59.301,130.956,41.688,25.823,38.858,38.637,46.243,29.721,22.606,54.854,29.334,3.375,2.843,0.000,7.741,6.174,0.000,1.736,4.491,14.265,12.125,19.038,0.000,4.696,0.000,5.891,6.599,3.943,0.893,5.175,0.000,0.000,5.266,2.103,2.865,0.000,2.975,0.683,1.913,0.000,0.000,0.000,0.000,0.000,0.879,0.000,0.894,2.162,1.589,3.623,0.000,3.529,0.753,0.711,0.000
